target_name	program_name	log2FC	p-value	adj_pval
Tor1b	7	0.006166822976577073	0.4018371026881216	0.6229388889089983
Tpst1_1	7	-0.030204358153519156	0.1355300804595937	0.4121299087613109
Tpst1_2	7	-0.028118478704948192	0.28842355308548606	0.559398277481107
Trib1_1	7	-0.05308560389289222	0.006106128522296292	0.07128232647036409
Trib1_2	7	0.0037438373416029433	0.5476902930909898	0.6864545869778836
Trp53	7	0.007790620628589823	0.42616543024477516	0.6357318312692594
Tsc1	7	-0.040648053376078	0.071279575276457	0.30741277683215223
Tsen34_1	7	-0.015160134272501487	0.8092947615485311	0.7611508342350484
Tsen34_2	7	0.016933301445391576	0.29701247969256644	0.5651949319379521
Tspan4	7	-0.007243618915841412	0.9934527470662964	0.7967332564160561
Ugt2b1	7	-0.005306640543841079	0.8915899372758196	0.7778498481103485
Ulk1	7	-0.0326815117697235	0.14528958012943458	0.42415307453787304
Ulk2	7	-0.0075491461019305435	0.9831091984555709	0.7940225698839944
Usp20	7	-0.03553947701005007	0.0990251433238215	0.360401006815137
Vkorc1l1_1	7	-0.01323003484841748	0.8046178526987953	0.7602303093940848
Vkorc1l1_2	7	0.0005965091339444116	0.557221884139931	0.6893506547057089
Vti1a	7	0.0020073604697877327	0.5646097574207178	0.6929473355142036
Washc5	7	-0.021933917465960726	0.40717616230670123	0.6262623467122865
Xbp1	7	-0.0030163749582766937	0.747056519808595	0.7488618061827812
Yy1	7	-0.0026170993826249572	0.7409839051471698	0.7473094749050876
Zdhhc6	7	-0.035785719665179426	0.1279829309601056	0.4010550827087993
4930579F01Rik_1	8	-0.016797966091821936	0.26979043918001266	0.5446563462901618
4930579F01Rik_2	8	-0.051518351009854225	0.0021098860072778676	0.033167162466030985
Aars	8	0.00043586369131651877	0.6475238551339335	0.7214198417719505
Abca1_1	8	-0.03579495223434552	0.0012598711612397458	0.022051241431981058
Abca1_2	8	0.02838988153912143	0.2060147264639578	0.48686870384906783
Abcb1a	8	0.021176383926237524	0.43480508194136236	0.6398414310841766
Abcg5	8	-0.0027950210010834176	0.5232963490119023	0.6766798667694838
Abcg8	8	-0.004126469513881675	0.5721105089288245	0.6953203043123078
Acaca	8	-0.009206525117824086	0.20949496810957405	0.490209947324091
Acacb_1	8	0.024294387365863347	0.2736202317508868	0.547830581861381
