Name,Score,program_id,UniquenessScore
Zfp292,0.0009291105709627,2,0.003009090385855041
Plk3,0.0009276664959954,2,0.001511391862625243
Ccdc137,0.0009176421250677,2,0.0029719477772550914
Pik3c2g,0.0009138471708343,2,0.0014888768578410643
H2-K1,0.0009114393093387,2,0.0014849538722783774
Nsd3,0.0009106310692635,2,0.00211483841297231
Pnisr,0.0008984097991635,2,0.0014637256660881132
Mafg,0.0008965877882846,2,0.0020822244696743273
Podn,0.0008916359972058,2,0.0025261950053243436
Fbxo11,0.0008805168834151,2,0.0028517110570834203
Cyp2d10,0.0008797986162047,2,0.0018828272492305202
Ogt,0.0008794980746208,2,0.0012725624596247843
Znrf1,0.0008768585872611,2,0.0018765353927686222
Nisch,0.000867894271209,2,0.002015586997966016
Helz2,0.0008637474547284,2,0.0020059564822931734
Per1,0.0008632792279002,2,0.0013242102167695545
Atosa,0.000862553881932,2,0.0020031845434875417
Tomm40l,0.0008591952944938,2,0.002782657286478099
Thrsp,0.0008581070621797,2,0.0017041281014283942
Dvl1,0.0008575893837631,2,0.0024297336857985624
Taok2,0.0008561576796622,2,0.0019883300818796653
Slc25a37,0.0008560122726598,2,0.0027723485022515546
Epm2aip1,0.0008546609490578,2,0.0024214368055143092
Srek1,0.0008508088625157,2,0.002410523022520772
Mtss1,0.000849845666515,2,0.002407794082758647
Srrm2,0.0008490188568838,2,0.0013023358007236904
Abcc2,0.0008478158201982,2,0.001096029419226649
Trak1,0.0008476730074535,2,0.0021577781485678637
Apoa1,0.000846332878611,2,0.0016807455679717516
Tmem259,0.0008412901454671,2,0.0027246682661425338
Zgpat,0.0008373139710422,2,0.0016628347797850922
Apoa5,0.0008370001770748,2,0.00145186139051398
Vwce,0.0008358859759701,2,0.0017888512937146678
Lpin2,0.0008336706725748,2,0.0013582500565430728
Akap8l,0.0008291684363907,2,0.0021106741842598794
Gata4,0.0008286475156822,2,0.0026837228534794867
Srsf6,0.0008239735491095,2,0.0017633579120651737
Tmbim6,0.000822940799744,2,0.0013407685127409827
Tubgcp3,0.0008219248312463,2,0.0023286883996981706
Taf2,0.0008200115140707,2,0.0026557536211474645
Grina,0.0008162771435453,2,0.0020778589951905035
