Name,Score,RowID
Sult1b1,0.0004865970682831,1
Txn2,0.0004864796386738,1
Cox7b,0.0004855671935688,1
Acsm3,0.000484394631737,1
Ghitm,0.0004841616400904,1
Etfb,0.0004839262407977,1
Cmc1,0.0004830296569756,1
Csde1,0.0004822282063749,1
Ppm1a,0.0004813171091137,1
Selenoo,0.0004813052001055,1
Ndufc1,0.0004793020877451,1
Plekhb1,0.0004788714736489,1
Nherf1,0.0004788222187802,1
Ggact,0.0004772963346705,1
Rnf4,0.000476873102019,1
Pdcd6,0.0004763288701859,1
Uqcr10,0.000476281356801,1
Ube2b,0.0004762176025924,1
Ccni,0.0004760433361547,1
Pih1d1,0.0004754581067878,1
Limd2,0.0004750052173684,1
Zfp40,0.0013495424492958,2
Osbpl3,0.0012564908001097,2
Rbm4,0.001222440075987,2
Flcn,0.0012177778322318,2
Echdc2,0.0012100059635801,2
Mlxipl,0.0012055767114144,2
Hjurp,0.0011742187105197,2
Ccnl2,0.0011690643263478,2
Pcyt2,0.0011690307826434,2
Gckr,0.0011543035325269,2
Fxyd2,0.001096992902698,2
Hoxb4,0.0010915092843026,2
Nr1i3,0.0010895977727041,2
Luc7l2,0.001063163725386,2
Gcgr,0.0010626932990515,2
Rsrp1,0.0010568653775515,2
Vegfa,0.0010498669733229,2
Zpr1,0.0010217040892268,2
Ddx17,0.0010058187914816,2
Leng8,0.0009837387293041,2
Zfp36,0.0009809747323451,2
Rbm5,0.000972558175179,2
A1cf,0.0009694145300674,2
Dpyd,0.0009522564509034,2
Pabpn1,0.0009378911016452,2
Srsf5,0.0009292745718163,2
Zfp292,0.0009291105709627,2
Plk3,0.0009276664959954,2
Ccdc137,0.0009176421250677,2
Pik3c2g,0.0009138471708343,2
H2-K1,0.0009114393093387,2
Nsd3,0.0009106310692635,2
Pnisr,0.0008984097991635,2
Mafg,0.0008965877882846,2
Podn,0.0008916359972058,2
Fbxo11,0.0008805168834151,2
Cyp2d10,0.0008797986162047,2
Ogt,0.0008794980746208,2
Znrf1,0.0008768585872611,2
Nisch,0.000867894271209,2
Helz2,0.0008637474547284,2
Per1,0.0008632792279002,2
Atosa,0.000862553881932,2
Tomm40l,0.0008591952944938,2
Thrsp,0.0008581070621797,2
Dvl1,0.0008575893837631,2
Taok2,0.0008561576796622,2
Slc25a37,0.0008560122726598,2
Epm2aip1,0.0008546609490578,2
Srek1,0.0008508088625157,2
Mtss1,0.000849845666515,2
Srrm2,0.0008490188568838,2
Abcc2,0.0008478158201982,2
Trak1,0.0008476730074535,2
Apoa1,0.000846332878611,2
Tmem259,0.0008412901454671,2
Zgpat,0.0008373139710422,2
Apoa5,0.0008370001770748,2
Vwce,0.0008358859759701,2
Lpin2,0.0008336706725748,2
Akap8l,0.0008291684363907,2
Gata4,0.0008286475156822,2
Srsf6,0.0008239735491095,2
Tmbim6,0.000822940799744,2
Tubgcp3,0.0008219248312463,2
Taf2,0.0008200115140707,2
Grina,0.0008162771435453,2
Ifrd1,0.0008160974376095,2
Nxf1,0.0008137298304725,2
