target_name	program_name	log2FC	p-value	adj_pval
C130074G19Rik	1	0.07041236932886169	0.1554088011028125	0.589891478823151
Cat	1	0.05282419712745122	0.2951542338422534	0.707364618201355
Cblc	1	-0.22080521758869856	0.35507935881435115	0.7368717076557342
Cd47	1	-0.14947275352499684	0.6880439211206792	0.854147261266282
Cebpz	1	-0.05898751465437508	0.9104367225405565	0.9043256430358755
Chid1	1	-0.20031535418645088	0.5038892842838505	0.8009778568502981
Chp1	1	-0.14025036977934507	0.8624473126863196	0.8948064974290948
Chuk	1	0.27033297771136855	0.0010629974876025846	0.03565215779217351
Cideb	1	0.22799767882793373	0.012584987358952582	0.19610034132141616
Clasrp	1	0.007985941159947895	0.28706958965708473	0.7023912109915189
Clptm1	1	-0.2789464516410507	0.3197790637922398	0.7207420926270786
Cnot3	1	0.020717936772946574	0.38487372535151093	0.7545041858382027
Cobll1	1	0.1674399881742266	0.003646354310379525	0.09021040693687296
Cpn1_1	1	-0.29359224208429285	0.2441376289774147	0.6745146200727588
Cpn1_2	1	-0.0025145065257150575	0.4600524217966749	0.7831455677974508
Crcp	1	-0.22060538815254294	0.4255402942458175	0.7721565902162812
Cwf19l1	1	-0.22008009214564572	0.44603364992116923	0.7787969237532002
Cyp2e1	1	-0.050278600747570214	0.7257494343619548	0.8628314657029993
Cyp3a41b	1	0.161788302208152	0.04356195918927444	0.3678286363625641
Cyp7a1	1	-0.4347974276857636	0.08486692979904925	0.47875878155096113
Ddx49	1	-0.18115635359519744	0.5763255339858618	0.8267301916439637
Deaf1	1	-0.17741713191852132	0.5065601202005583	0.8023101976311868
Dgat1	1	-0.15399467047816445	0.6919790786055623	0.8545286003677033
Dgat2	1	0.9508622956266617	5.256482629876828e-18	1.817554413374004e-15
Dmac1	1	-0.28172164691419294	0.2622930051637054	0.6841177211120099
Dnajc22	1	-0.0969159887461302	0.9431012682143862	0.9089865233078224
Dnmbp_1	1	-0.11374766458798029	0.9564253105130609	0.9098188695765741
Dnmbp_2	1	-0.1931492916237334	0.38199336015326063	0.7514767037494486
Dock7	1	0.07536774573915085	0.11852484650929995	0.5382356011669791
Drg2	1	0.0571748923223978	0.17729153323019287	0.6148817536739717
Eif2ak3	1	-0.12288920689600298	0.7938870597832385	0.8787692353572765
Eif4e_1	1	-0.1375409574357363	0.9276020279143908	0.9067401684252446
Eif4e_2	1	-0.25885721583621046	0.4146627802107727	0.7662478072173226
Emc1	1	-0.25686673538420035	0.33757543529952044	0.7282293984533531
Emc2	1	0.06934709624961831	0.2468086785452802	0.6772286844488798
Emc3	1	-0.08507283819301369	0.8005801236405612	0.8808195033612226
Enpp2_1	1	0.09645573754326599	0.0746484052221473	0.4570017408184444
Enpp2_2	1	-0.18769490515676437	0.6052270464490901	0.8330950551553249
Eps8l2	1	0.11219483465264016	0.1379454438109834	0.5647908478499529
Erlin1	1	-0.12591777173616203	0.9849038653294351	0.9142466446717112
Ern1	1	-0.014644143261524871	0.4099693478313763	0.7642301232890243
Esr1_1	1	-0.17480204276547454	0.3776948148098232	0.7492577320179036
Esr1_2	1	-0.20527582970623795	0.7765553988119447	0.8762851304378222
Fads1	1	-0.4619456097138772	0.026467796795603744	0.29409231934818064
Fads2	1	-0.24314685080010864	0.11244523168060502	0.5317441313088968
Faf2	1	0.08871626197604511	0.14134154257007048	0.5696430155319901
Fars2	1	-0.27212679274437057	0.23511591066163573	0.6673506217434549
Fasn	1	-0.3684975582116242	0.06441651821363578	0.4334981864496503
Fdft1_1	1	0.222243366361245	0.02545759012778359	0.28826102404732407
Fdft1_2	1	-0.18949388180690724	0.566713738354155	0.8230925122575516
Fgf1_1	1	-0.14587988627553358	0.8007402292546162	0.8808195033612226
Fgf1_2	1	-0.17307990262596096	0.776966797434553	0.8762851304378222
Fgfr2	1	-0.06712696844920434	0.9746877528330913	0.9123348983580263
Fgfr4	1	0.11394364517726045	0.1456675023055195	0.5757760030714476
Fign	1	-0.09214250966714223	0.8024433703466847	0.8809711479260148
Flcn	1	-0.13198656714881538	0.33667769154926896	0.7271664559625267
Flii	1	-0.019471910748472578	0.5808483732258489	0.8285869752997572
Fmo3	1	-0.02368213308992583	0.3791223557190643	0.7503318759990584
Fnbp1	1	0.11399564950313817	0.05682914496239186	0.4159785457102614
Fndc4_1	1	-0.11586014983929566	0.8833977274495166	0.8978477084231532
